	sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop	mellow	unpretenious	sophisticated	intense	contemperory
64	65  HASTA ABAJO	Kevin Roldan	reggaeton	2019	2023‑04‑13	81.64251207729468	67.0	65.75342465753425	78.26086956521739	33.69565217391305	65.625	230.0	29.292929292929294	36.0	71.0	-49.700597397440745	-25.0303212665668	72.63960931530914	104.04584145505082	14.635276416638094
65	66  Loco	Justin Quiles	reggaeton	2021	2023‑04‑13	61.35265700483092	90.0	73.97260273972603	86.95652173913044	7.608695652173913	87.5	232.0	22.22222222222222	5.0	71.0	-21.027082919727345	-14.66416021441334	91.38180795447026	75.9361888690358	10.24744391502879
66	67  Morad: Bzrp Music Sessions, Vol. 47	Bizarrap	argentine hip hop	2021	2023‑04‑13	58.45410628019324	86.0	73.97260273972603	78.26086956521739	8.695652173913043	56.25	178.0	47.474747474747474	4.0		-33.22460158463733	-26.07849376733385	86.57350755921334	88.03758324760409	13.560986954115306
67	68  Pintao	Duki	argentine hip hop	2021	2023‑04‑13	50.72463768115942	80.0	69.86301369863014	78.26086956521739	6.521739130434782	47.916666666666664	167.0	14.141414141414142	6.0	71.0	-34.76046949543078	-17.200110470397846	72.74808237226344	84.25335321650093	11.32008628572804
68	69  París	Ingratax	concurso de talentos argentino	2021	2023‑04‑13	80.67632850241546	46.0	46.57534246575342	73.91304347826087	5.434782608695652	40.625	151.0	44.44444444444444	10.0	70.0	-45.48319105287538	-16.884610135000997	64.13179141023096	87.07523906425783	11.523333581496924
69	70  Además de Mí - Remix	Rusherking	trap argentino	2021	2023‑04‑13	37.19806763285024	61.0	23.28767123287671	78.26086956521739	18.47826086956522	41.666666666666664	330.0	4.040404040404041	5.0	70.0	-33.445372425866765	-18.597985513262465	41.34927295588403	66.64679553125058	3.3101337977752516
70	71  Índigo	Camilo	colombian pop	2021	2023‑04‑13	61.83574879227053	78.0	71.23287671232876	69.56521739130434	9.782608695652174	95.83333333333333	215.0	1.0101010101010102	3.0	70.0	-11.740425397512938	-2.9524917128401356	81.02505399438097	59.535532513942286	9.084171825461283
71	72  Parce (feat. Justin Quiles)	Maluma	latin pop	2020	2023‑04‑13	40.09661835748792	74.0	63.013698630136986	86.95652173913044	9.782608695652174	90.625	248.0	42.42424242424242	23.0	70.0	-8.943144969648838	-24.97236378826983	93.64385667274291	62.608733628723215	7.447190976170279
72	73  Ella No Es Tuya - Remix	Rochy RD	dembow	2021	2023‑04‑13	46.3768115942029	61.0	49.31506849315068	82.6086956521739	68.47826086956522	98.95833333333333	218.0	39.39393939393939	29.0	70.0	-31.55640983991192	-46.937956282599664	73.61458840940675	89.77629067626836	9.742380813796093
73	74  El Mismo Aire	La K'onga	cuarteto	2020	2023‑04‑13	71.98067632850241	75.0	72.6027397260274	73.91304347826087	11.956521739130435	84.375	209.0	7.070707070707071	4.0	70.0	-25.040978576714142	-6.642743508642111	79.88810378953322	75.07410728788783	11.216628577315744
