	sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop	mellow	unpretenious	sophisticated	intense	contemperory
25	26  Shayad	Pritam	desi pop	2020	2023‑04‑13	65.21739130434783	47	34.24657534246575	65.21739130434783	14.130434782608695	32.291666666666664	248	78.78787878787878	3	76	-41.21178731929179	-32.73892005973974	62.05516450989946	81.08706368328912	11.10432064089375
26	"27  Agar Tum Saath Ho (From ""Tamasha"")"	Alka Yagnik	filmi	2017	2023‑04‑13	58.93719806763285	52	45.205479452054796	60.869565217391305	16.304347826086957	42.708333333333336	341	56.56565656565657	3	76	-34.36412667472821	-26.787696613243817	63.3174899681749	75.79811027186697	11.151211151118092
27	28  a m a r i	J. Cole	conscious hip hop	2021	2023‑04‑13	31.40096618357488	71	68.4931506849315	73.91304347826087	65.21739130434783	20.833333333333332	148	13.131313131313131	19	75	-67.45256014582995	-52.093480216097845	50.31805848839797	126.19043171440431	16.222832103043537
28	29  Arcade	Duncan Laurence	dutch pop	2020	2023‑04‑13	34.29951690821256	35	30.136986301369863	47.82608695652174	13.043478260869565	28.125	185	83.83838383838383	4	75	-22.426289397849857	-36.235975937155956	57.76662996853586	57.051735716305394	8.860730029599148
29	30  Khairiyat	Pritam	desi pop	2019	2023‑04‑13	59.90338164251208	48	41.0958904109589	60.869565217391305	13.043478260869565	29.166666666666668	280	70.70707070707071	4	75	-39.67118474801619	-30.972952424783873	61.69825713959128	80.0479437014577	11.782579367227969
30	31  Insane	Ranvir		2021	2023‑04‑13	47.34299516908212	57	78.08219178082192	69.56521739130434	8.695652173913043	30.208333333333332	206	42.42424242424242	5	75	-40.430389361151725	-29.054716875424887	77.33305659333058	93.74048367835593	15.252494232076574
31	32  SugarCrash!	ElyOtto	hyperpop	2020	2023‑04‑13	46.85990338164251	73	71.23287671232876	73.91304347826087	8.695652173913043	37.5	80	52.525252525252526	12	74	-36.53302530967808	-31.575570325049185	80.27428543926459	89.53641086264672	13.81265228220261
32	"33  Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")"	Rochak Kohli	desi pop	2019	2023‑04‑13	41.54589371980676	38	67.12328767123287	65.21739130434783	11.956521739130435	51.041666666666664	201	59.5959595959596	5	74	-24.087338543264693	-31.757614674138647	81.85751198705337	74.97196014643156	12.54555211886585
33	"34  Kaise Hua (From ""Kabir Singh"")"	Vishal Mishra	desi pop	2019	2023‑04‑13	66.18357487922705	46	21.91780821917808	69.56521739130434	9.782608695652174	14.583333333333334	235	45.45454545454545	4	74	-51.46311085843545	-22.5365902172409	41.91705320025749	83.25097987017283	8.513714046359967
34	"35  Tum Tum (From ""Enemy - Tamil"")"	Thaman S	new beat	2021	2023‑04‑13	70.53140096618357	76	69.86301369863014	78.26086956521739	11.956521739130435	93.75	229	76.76767676767676	14	74	-17.033745736098314	-27.990459614007857	103.62050222294417	74.34239581641309	12.636127128942794
35	"36  Tujhe Kitna Chahne Lage (From ""Kabir Singh"")"	Arijit Singh	desi pop	2019	2023‑04‑13	33.333333333333336	40	27.397260273972602	65.21739130434783	9.782608695652174	31.25	285	74.74747474747475	4	74	-25.490093008705287	-35.8167563815643	60.06797877524501	62.14935011220002	6.952686859662739
36	37  Brown Munde	AP Dhillon	desi pop	2020	2023‑04‑13	47.82608695652174	61	84.93150684931507	73.91304347826087	10.869565217391305	42.708333333333336	254	22.22222222222222	9	74	-38.07555754086427	-23.73814812057442	79.56442326781816	93.75200598901463	14.815922589504337
37	"38  Mere Yaaraa (From ""Sooryavanshi"")"	Arijit Singh	desi pop	2021	2023‑04‑13	57.971014492753625	54	12.32876712328767	65.21739130434783	10.869565217391305	50.0	285	71.71717171717172	4	73	-24.589146377413208	-25.508777470957348	55.20881838034906	55.308113896559405	5.015301917326933
38	39  Bijlee Bijlee	Harrdy Sandhu	desi pop	2021	2023‑04‑13	47.82608695652174	67	78.08219178082192	78.26086956521739	5.434782608695652	65.625	168	27.272727272727273	14	73	-23.33410038442796	-19.634619159131518	87.15233634739293	77.46901903189128	11.68417517190969
39	40  Jugnu	Badshah	desi hip hop	2021	2023‑04‑13	59.90338164251208	80	67.12328767123287	78.26086956521739	6.521739130434782	33.333333333333336	230	3.0303030303030303	4	73	-47.12818175802095	-13.62247249144212	62.653515500448194	93.9936169316753	12.165021266867607
