sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop
97  Mera Bhola Hai Bhandari	Hansraj Raghuwanshi	himachali pop	2020	2023‑04‑13	80	88	53	-2	32	58	412	41	10	62
"98  Shiddat Title Track (From ""Shiddat"")"	Manan Bhardwaj	modern bollywood	2021	2023‑04‑13	150	63	49	-6	13	44	231	29	6	62
"99  Kabhii Tumhhe (From ""Shershaah"")"	Javed-Mohsin	modern bollywood	2021	2023‑04‑13	97	34	55	-7	12	39	230	84	3	62
"100 Jai Jai Shivshankar (From ""War"")"	Vishal Dadlani	desi pop	2019	2023‑04‑13	129	90	83	-5	7	53	231	26	8	61
101 Manike Mage Hithe	Chamath Sangeeth	sinhala pop	2021	2023‑04‑13	151	51	84	-10	10	56	163	71	37	61
102 Saami Saami	Mounika Yadav	telugu folk	2021	2023‑04‑13	140	77	81	-7	30	87	224	36	28	60
103 Score	Arjan Dhillon	punjabi pop	2021	2023‑04‑13	91	71	60	-6	16	27	219	19	30	60
104 Titliaan	Afsana Khan	punjabi pop	2020	2023‑04‑13	124	76	75	-3	13	71	195	33	3	60
105 Enjoy Enjaami	Dhee	filmi	2021	2023‑04‑13	110	71	86	-7	23	86	280	35	22	60
"106 Master the Blaster (From ""Master"")"	Anirudh Ravichander	desi hip hop	2021	2023‑04‑13	100	82	76	-1	17	90	92	30	10	60
107 WAR	AP Dhillon	desi pop	2021	2023‑04‑13	140	51	67	-11	35	32	221	16	30	59
108 Achyutam Keshavam	Shreya Ghoshal	desi pop	2018	2023‑04‑13	85	65	24	-14	54	18	277	66	16	59
109 Raataan Chill Mix - Spotify Singles (Tanishk Bagchi, Jubin Nautiyal, Hanita Bhambri)	Tanishk Bagchi	desi pop	2021	2023‑04‑13	80	50	60	-8	39	36	155	88	3	59
110 Vibez	ZAYN	dance pop	2021	2023‑04‑13	97	66	64	-7	11	34	163	24	12	59
111 Baarish Ki Jaaye	B Praak	desi pop	2021	2023‑04‑13	157	77	52	-3	33	48	251	32	18	59
112 Me and My Girlfriend	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	79	80	70	-5	33	75	204	3	28	58
113 Vardaan	Ajey Nagar (CarryMinati)	hindi hip hop	2021	2023‑04‑13	95	74	68	-11	15	14	202	14	38	58
114 Hukam	Karan Aujla	desi hip hop	2021	2023‑04‑13	92	67	76	-7	36	40	230	0	25	57
115 Saiyaan Ji	Yo Yo Honey Singh	desi pop	2021	2023‑04‑13	130	68	90	-3	11	60	205	1	8	57
116 Leharaayi	Sid Sriram	filmi	2021	2023‑04‑13	92	61	78	-8	9	48	245	25	6	57
117 Baarish Ban Jaana	Payal Dev	desi pop	2021	2023‑04‑13	80	87	55	-5	23	72	200	12	5	57
"118 Duniyaa (From ""Luka Chuppi"")"	Akhil	desi hip hop	2020	2023‑04‑13	77	66	44	-6	13	52	223	70	4	57
119 Mirchi	DIVINE	desi hip hop	2020	2023‑04‑13	130	61	87	-5	9	82	193	14	40	56
120 Barsaat Ki Dhun	Rochak Kohli	desi pop	2021	2023‑04‑13	87	77	67	-7	12	73	259	16	3	56
121 First Kiss	Yo Yo Honey Singh	desi pop	2020	2023‑04‑13	94	76	85	-2	6	32	220	8	10	55
122 Fall Off (Interlude)	KR$NA	desi hip hop	2021	2023‑04‑13	130	89	84	-5	23	53	122	16	6	55
123 Master the Blaster - Background Score	Anirudh Ravichander	desi hip hop	2021	2023‑04‑13	100	82	75	-1	17	90	92	31	12	54
124 Here & There	Karan Aujla	desi hip hop	2021	2023‑04‑13	92	71	76	-9	26	90	245	1	9	54
125 Gajanana	Sukhwinder Singh	filmi	2015	2023‑04‑13	108	87	42	-2	35	40	214	24	4	54
126 Marjaawaan	Gurnazar	desi pop	2021	2023‑04‑13	112	56	62	-6	11	56	226	44	3	54
127 Permission to Dance - R&B Remix	BTS	k-pop	2021	2023‑04‑13	120	60	66	-6	10	35	216	7	3	54
128 Pani Di Gal	Maninder Buttar	desi hip hop	2021	2023‑04‑13	102	72	88	-4	11	65	237	46	4	53
129 Rang Barse Bheege Chunarwali	Amitabh Bachchan	classic bollywood	1981	2023‑04‑13	121	50	66	-12	10	60	366	85	30	53
130 Baawla	Badshah	desi hip hop	2021	2023‑04‑13	96	46	87	-8	7	56	183	61	23	52
131 Shree Ganeshay Dheemahi	Ajay-Atul	filmi	2001	2023‑04‑13	140	29	61	-15	10	51	408	73	3	52
132 Moosetape (Intro)	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	41	54	66	-11	66	90	92	86	51	51
"133 Coca Cola (From ""Luka Chuppi"")"	Tony Kakkar	desi pop	2019	2023‑04‑13	102	87	72	-4	12	89	179	12	9	51
134 Titliaan Warga	Harrdy Sandhu	desi pop	2021	2023‑04‑13	124	80	71	-3	31	52	228	35	4	50
135 Morya Morya	Ajay	marathi pop	2008	2023‑04‑13	72	81	46	-10	33	8	377	8	11	50
"136 Karinthol (From ""Rrr"")"	K. S. Harisankar	malayalam pop	2021	2023‑04‑13	160	99	44	-4	8	75	214	35	13	49
137 Maa Tujhe Salaam	A.R. Rahman	filmi	1997	2023‑04‑13	127	53	71	-11	11	38	375	14	3	49
138 Itz A Hustle	Karan Aujla	desi hip hop	2021	2023‑04‑13	91	78	75	-6	4	82	220	2	25	46
"139 Aila Re Aillaa (From ""Sooryavanshi"")"	Pritam	desi pop	2021	2023‑04‑13	105	96	76	-3	23	63	156	2	13	46
140 Boli (Guns Up)	Karan Aujla	desi hip hop	2021	2023‑04‑13	95	85	63	-6	44	77	290	1	22	45
141 Addi Sunni	Karan Aujla	desi hip hop	2021	2023‑04‑13	184	80	50	-7	11	82	242	25	42	45
142 Kanaa	Nucleya	desi hip hop	2021	2023‑04‑13	95	69	59	-6	10	23	258	0	5	45
143 Sira E Hou	Amrit Maan	desi pop	2021	2023‑04‑13	78	55	75	-5	15	79	201	34	20	45
144 Ford (Loud AF)	Karan Aujla	desi hip hop	2021	2023‑04‑13	86	78	69	-7	36	96	208	35	9	45
145 Still Here (Intro)	KR$NA	desi hip hop	2021	2023‑04‑13	110	76	84	-6	33	33	170	9	26	45
146 Jatt te Jawani	Dilpreet Dhillon	desi pop	2021	2023‑04‑13	160	69	77	-5	3	61	240	2	26	43
147 Feel The Flava (It'z All Good)	Karan Aujla	desi hip hop	2021	2023‑04‑13	93	83	71	-7	90	86	260	1	10	41
148 No Time (feat. Lil Durk)	KSI	uk hip hop	2021	2023‑04‑13	80	73	65	-6	32	45	180	30	7	41
149 Gajananaa Gajananaa	Shankar Mahadevan	filmi	2014	2023‑04‑13	97	75	59	-8	31	43	336	38	5	39
150 Click That B Kickin It (Yaar Jatt De)	Karan Aujla	desi hip hop	2021	2023‑04‑13	93	87	71	-6	33	86	247	1	24	39
1   Save Your Tears	The Weeknd	canadian contemporary r&b	2020	2023‑04‑14	118	83	68	-5	54	64	216	2	3	89
2   Watermelon Sugar	Harry Styles	pop	2019	2023‑04‑14	95	82	55	-4	34	56	174	12	5	89
3   Shape of You	Ed Sheeran	pop	2017	2023‑04‑14	96	65	83	-3	9	93	234	58	8	88
4   One Dance	Drake	canadian hip hop	2016	2023‑04‑14	104	63	79	-6	33	37	174	1	5	87
5   Shivers	Ed Sheeran	pop	2021	2023‑04‑14	141	86	79	-3	4	82	208	28	9	87
6   The Nights	Avicii	dance pop	2014	2023‑04‑14	126	84	53	-5	25	65	177	2	4	87
7   Hope	XXXTENTACION	emo rap	2018	2023‑04‑14	146	46	59	-6	15	23	111	66	6	86
8   Easy On Me	Adele	british soul	2021	2023‑04‑14	142	37	60	-8	13	13	225	58	3	84
9   You Right	Doja Cat	dance pop	2021	2023‑04‑14	129	62	83	-6	8	44	186	2	6	83
10  Unstoppable	Sia	australian dance	2016	2023‑04‑14	174	78	47	-5	10	26	218	11	8	82
11  Boy With Luv (feat. Halsey)	BTS	k-pop	2019	2023‑04‑14	120	86	65	-5	19	80	230	9	8	79
12  One Right Now (with The Weeknd)	Post Malone	dfw rap	2021	2023‑04‑14	97	78	69	-5	8	69	194	4	5	79
13  Who Says	Selena Gomez & The Scene	dance pop	2011	2023‑04‑14	101	93	68	-3	15	74	196	8	5	78
14  Tum Se Hi	Pritam	desi pop	2007	2023‑04‑14	130	54	61	-8	13	61	321	33	3	78
15  SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)	DJ Snake	edm	2021	2023‑04‑14	100	84	80	-3	9	70	226	0	5	76
16  Hold On	Justin Bieber	canadian pop	2021	2023‑04‑14	140	63	66	-6	12	30	171	1	4	76
17  Into Your Arms (feat. Ava Max)	Witt Lowry	indie pop rap	2018	2023‑04‑14	170	79	50	-4	36	23	186	1	22	75
18  0X1=LOVESONG (I Know I Love You) feat. Seori	TOMORROW X TOGETHER	k-pop	2021	2023‑04‑14	105	84	58	-5	7	48	202	6	8	74
19  Na Ja	Pav Dharia	desi pop	2017	2023‑04‑14	90	65	77	-6	8	82	208	7	14	74
20  Anyone	Justin Bieber	canadian pop	2021	2023‑04‑14	116	54	69	-8	11	58	191	18	3	74
21  Baila Conmigo (with Rauw Alejandro)	Selena Gomez	dance pop	2021	2023‑04‑14	150	54	82	-7	10	66	186	2	7	74
22  Whoopty	CJ	nyc rap	2020	2023‑04‑14	140	65	72	-8	13	66	123	20	13	73
