sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop
80  TOP 5	Duki	argentine hip hop	2021	2023‑04‑13	100	82	85	-3	11	69	147	9	21	69                               
81  Una Nota	J Balvin	reggaeton	2021	2023‑04‑13	180	79	66	-5	6	71	171	2	21	69                                 
82  Si Me Tomo Una Cerveza	Migrantes	cumbia pop	2020	2023‑04‑13	85	61	72	-7	16	86	182	19	6	69                 
83  Explícito	Myke Towers	reggaeton	2020	2023‑04‑13	95	83	83	-3	6	42	195	35	5	69                              
84  La Nota	Manuel Turizo	colombian pop	2021	2023‑04‑13	92	63	74	-5	35	50	216	18	6	69                         
85  ALMAS GEMELAS	Myke Towers	reggaeton	2021	2023‑04‑13	95	75	79	-5	29	72	235	18	6	69                         
86  BEBÉ	Camilo	colombian pop	2021	2023‑04‑13	130	72	86	-4	5	97	197	48	4	69                                   
87  Salimo de Noche	Tiago PZK	trap argentino	2021	2023‑04‑13	84	63	67	-4	12	78	178	29	5	68                    
88  DANCE CRIP	Trueno	argentine hip hop	2021	2023‑04‑13	106	77	86	-4	8	86	165	11	10	68                        
89  No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]	BANDIDO	concurso de talentos argentino	2021	2023‑04‑13	1
90  FEEL ME??	Trueno	argentine hip hop	2021	2023‑04‑13	123	58	74	-6	27	53	187	40	4	68                         
91  VIVIR ASÍ ES MORIR DE AMOR	NATHY PELUSO	r&b en espanol	2021	2023‑04‑13	102	80	62	-6	10	72	257	9	5	68      
92  Fiel - Remix	Wisin	reggaeton	2021	2023‑04‑13	98	71	84	-5	12	57	350	40	5	68                                
93  Poblado - Remix	J Balvin	reggaeton	2021	2023‑04‑13	93	81	81	-5	38	65	393	10	8	68                          
94  Sal y Perrea	Sech	panamanian pop	2021	2023‑04‑13	90	90	79	-1	30	81	217	19	13	68                           
95  Mentirosa	Rafaga	cumbia chilena	1998	2023‑04‑13	201	78	63	-6	24	82	195	6	8	68                             
96  como si no importara	Emilia	pop argentino	2021	2023‑04‑13	95	53	84	-7	10	53	173	47	14	67                  
97  Mal Acostumbrao - con Maria Becerra	Mau y Ricky	latin pop	2021	2023‑04‑13	98	52	86	-6	8	59	190	6	14	67    
98  2:50 Remix	MYA	pop argentino	2021	2023‑04‑13	140	81	82	-4	23	84	232	11	5	67                               
99  YIN YAN	Duki	argentine hip hop	2021	2023‑04‑13	172	69	73	-4	27	71	189	6	14	67                             
100 L-Gante: RKT SESSIONS #1	Papu DJ	cumbia 420	2020	2023‑04‑13	176	49	83	-11	27	55	182	37	48	67              
101 Mi Niña	Wisin	reggaeton	2020	2023‑04‑13	100	82	82	-3	14	79	213	31	17	67                                  
102 AM	Nio Garcia	reggaeton	2021	2023‑04‑13	172	52	83	-6	9	62	182	40	33	67                                    
103 Ella - Remix	Boza	panamanian pop	2021	2023‑04‑13	180	81	75	-4	17	88	330	34	11	67                          
104 De Museo	Bad Bunny	reggaeton	2021	2023‑04‑13	132	49	59	-11	13	23	210	24	7	67                              
105 La Tóxica	Farruko	reggaeton	2020	2023‑04‑13	92	70	66	-4	9	62	181	9	16	67                                  
106 Colorín Colorado	Justin Quiles	reggaeton	2021	2023‑04‑13	170	81	68	-4	18	57	195	22	19	67                  
107 Maldita Foto	TINI	latin pop	2021	2023‑04‑13	174	67	74	-4	10	93	190	15	13	66                               
108 Anuel AA: Bzrp Music Sessions, Vol. 46	Bizarrap	argentine hip hop	2021	2023‑04‑13	75	84	41	-4	9	66	202	35	
109 Ram Pam Pam	NATTI NATASHA	latin pop	2021	2023‑04‑13	97	81	91	-3	28	92	201	31	8	66                         
110 En Tu Cuerpo - Remix	Lyanno	reggaeton	2020	2023‑04‑13	156	50	74	-9	10	56	311	25	7	66                      
111 Antes de Ti	Rusherking	trap argentino	2021	2023‑04‑13	128	61	85	-4	7	77	207	13	4	65                       
112 No Te Enamores - Remix	Milly	urbano latino	2020	2023‑04‑13	100	84	82	-5	27	58	290	57	11	65                
113 Poblado	Crissin	reggaeton colombiano	2020	2023‑04‑13	93	71	90	-7	12	48	202	1	9	65                         
114 Prende la Cámara RMX	FMK	trap argentino	2021	2023‑04‑13	92	71	76	-4	7	80	213	11	11	65                     
115 Súbelo	Anuel AA	reggaeton	2021	2023‑04‑13	90	75	63	-4	11	75	240	17	8	65                                   
116 Tan Enamorados	CNCO	boy band	2021	2023‑04‑13	172	71	66	-4	20	53	176	17	9	65                               
117 PROBLEMA	Daddy Yankee	latin hip hop	2021	2023‑04‑13	90	80	77	-3	3	84	185	6	10	64                          
